"yard_id","name","address","average_price","owner_id","linkimg","phone_num"
1,"Sân cầu lông Cầu Kho","số 2 Nguyễn Văn Cừ, Quận 1",40000,1,"https://sieuthicaulong.vn/images/badminton-yard/1688736863_gallery_image-san-cau-long-cau-kho-quan-1-165579234190625.jpg","02839301819"
2,"Sân cầu lông Cung Văn hóa Lao động","Cung Văn hóa Lao Động, đường Nguyễn Thị Minh Khai, Quận 1",50000,2,"https://sancaulong.vn/upload_images/images/2022/04/09/s%C3%A2n-c%E1%BA%A7u-l%C3%B4ng-cung-v%C4%83n-h%C3%B3a-lao-%C4%91%E1%BB%99ng-1024x682.jpg"," 02839301819"
3,"Sân cầu lông Hiển Hoa","262/3 Trần Não, Phường bình an, Quận 2",50000,3,"https://cdn.alongwalk.info/vn/wp-content/uploads/2022/06/21201533/image-san-cau-long-hien-hoa-165579213378015.jpg","0918457863"
4,"Sân cầu lông Trần Não","22 Đ. Số 24, Bình An, Quận 2",55000,4,"https://sancaulong.vn/upload_images/images/2022/03/29/1(1).jpg","0962 427 872"
5,"Sân cầu lông Lương Định Của","Khu dân cư đường Lương Định Của, Quận 2",40000,5,"https://sancaulong.vn/upload_images/images/2022/04/23/29643363_TY_hv0H8plYFxYBnaIgzJr6QL6LzqANw88QMfRARShg.jpg","0906789001"
6,"Sân cầu lông Chánh Đại ","Số 138 Văn Thân, P.8, Quận 6",70000,6,"https://placevietnam.com/uploads/san_pham/san-cau-long-chan-dai-hong-tam.webp","0909 251 257"
7,"Sân cầu lông Rebell","Đường Đỗ Xuân Hợp, quận 9",65000,7,"https://sieuthicaulong.vn/images/badminton-yard/1689184677_gallery_1_1648610306.jpeg","0913 404 924"
8,"Sân cầu lông Hoài Phương","146 Nam Hòa, Phước Long A, Quận 9",65000,8,"https://sieuthicaulong.vn/images/badminton-yard/1693503353-san-cau-long-hoai-phuong.jpg","0933787524"
9,"Sân cầu lông Viettel","158 Hoàng Hoa Thám, Phường 12, Quận Tân Bình , Thành phố Hồ Chí Minh",50000,9,"https://cdn.shopvnb.com/uploads/images/tin_tuc/san-cau-long-viettel-san-cau-long-o-tan-binh-uy-tin-chat-luong-1.webp","0936233677"
10,"Sân cầu lông Hoàng Hoa Thám","367 Hoàng Hoa Thám, Quận Tân Bình",35000,10,"https://sancaulong.vn/upload_images/images/2022/04/18/2-san-cau-long-viettel-hoang-hoa-tham.jpg","0936233677"
11,"Sân cầu lông Bộ Công An","215 Đ. Nguyễn Văn Cừ, Phường 4, Quận 1",60000,2,"https://sancaulong.vn/upload_images/images/2022/04/23/929a59869d3d53630a2c.jpg","0914504642"
19,"Sân cầu lông Ga Hoà Hưng","Số 1 Nguyễn Thông, P.9, Quận 3",50000,3,"https://sieuthicaulong.vn/images/badminton-yard/1689240935_gallery_7_5.jpg","0902662794"
20,"Sân cầu lông Trường Nguyễn Thị Minh Khai","Số 26 Ngô Thời Nhiệm, Quận 3",30000,3,"https://sancaulong.vn/upload_images/images/2022/04/18/2-san-cau-long-nguyen-thi-minh-khai.jpg","0909087137"
21,"Sân cầu lông Xí nghiệp đầu máy xe lửa","Số 540/21 Cách Mạng Tháng 8, P.11, Quận 3",50000,3,"https://sieuthicaulong.vn/images/badminton-yard/1688117816_gallery_san-cau-long-xi-nghiep-dau-may-xe-lua-noi-bung-chay-niem-dam-me3.png","0906980158"
22,"Sân cầu lông toa xe","Hẻm 540 Cách Mạng Tháng Tám, Phường 11, Quận 3",60000,4,"https://sieuthicaulong.vn/images/badminton-yard/1688546664_gallery_san-cau-long-xi-nghiep-toa-xe.jpg","0374871803"
23,"Sân cầu lông Marie Curie","26 Lê Quý Đôn, Quận 3",60000,5,"https://sancaulong.vn/upload_images/images/2022/04/12/S%C3%A2n-c%E1%BA%A7u-l%C3%B4ng-Marie-Curie.jpg",NULL
24,"Sân cầu lông T78","Đường Lý Chính Thắng, Quận 3",50000,6,"https://babolat.com.vn/wp-content/uploads/2024/02/san-danh-cau-long-t78.jpg",NULL
25,"Sân cầu lông Tân Cảng ","Chân cầu Tân Thuận, Quận 4",50000,9,"https://sancaulong.vn/upload_images/images/2022/04/13/san-cau-long-chau-duong.jpg","0906377237"
26,"Sân cầu lông Tinh Võ","Số 1 Lão Tử, Quận 5",60000,10,"https://sancaulong.vn/images/news/2022/04/18/large/1-san-cau-long-tinh-vo_1650253595.jpg",NULL
27,"Sân cầu lông Lê Hồng Phong","Số 235 Nguyễn Văn Cừ, P.4, Quận 5",60000,4,"https://sancaulong.vn/upload_images/images/2022/04/06/2-san-cau-long-le-hong-phong.jpg",NULL
28,"Sân cầu lông Lý Phong","Số 76 An Dương Vương, P.9, Quận 5",50000,7,"https://sieuthicaulong.vn/images/badminton-yard/1688911624_gallery_san-cau-long-ly-phong-1.jpg",NULL
29,"Sân cầu lông Đại học Sư Phạm","280 An Dương Vương, phường 4, quận 10",40000,6,"https://sieuthicaulong.vn/images/badminton-yard/1688710605_gallery_san-cau-long-dai-hoc-su-pham-ha-noi.png","02838352020"
